Species, DayOfYear, Time, Lat, Long, Alt, SolRad, PFD, Temp, CO2, RH, Wind, LAI, ConstTemp, sifSunlit, sifShaded,ql_sunlit, ql_shaded, kdf_sunlit, kdf_shaded, PhiPS2_sunlit, PhiPS2_shaded, fesc, ANet, AGross, VPD, LeafTemp, BoundaryL_Conductance, InternalCO2, Respiration, StomatalConduct, Transpiration,J,sunlitPFD,shadedPFD,sunlitLAI,shadedLAI,GammaValue(gamma_C3 or GammaStar_C4), Gamma_C4,Cs_stomatalConductance, ci, AjLeaf,AcLeaf,AvLeaf,ApLeaf,Azimuth, DayLength, Declination, FracPARDiffuse, FracPARDirect, NIR,NIRFraction, NIRTotal, PAR ,SolarNoon, Sunrise, Sunset, SinElevation, SolarElevation,PotSolarDiffuse, PotSolarTotal, PotSolarDirect, MeasuredSolarRad, PARFraction,PFD, PFDDiffuse, PFDDirect, PFDTotal, Zenith, PotParDirect,PotParDiffuse, PotNIRDirect,PotNIRDiffuse
maize,   198.31,     7.00,    41.16,   -96.47,   100.00,   351.57,   696.10,    23.36,   399.17,    77.80,     2.04,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    32.70,    39.15,     0.64,   23.59,     2.19,   251.37,     6.44,     0.36,     2.25,   196.10,   293.87,   297.95,     0.96,    2.54,  183.24,  103.65,  388.23,   251.37,    39.22,   149.38,     0.00,     0.00,    -1.64,    14.83,     0.37,     0.73,     0.27,  194.21,    0.56,  194.21,  151.33,    11.67,     4.25,    19.09,     0.48,     0.50,    85.01,   434.80,   349.79,   345.54,     0.44,  696.10,  509.44,  186.66,  696.10,     1.07,   196.19,     77.36,  249.10,  101.97
maize,   198.35,     8.00,    41.16,   -96.47,   100.00,   525.30,  1040.10,    24.60,   382.24,    70.20,     2.37,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    49.60,    56.46,     0.92,   24.69,     2.36,   217.15,     6.86,     0.50,     4.29,   283.21,   528.99,   370.31,     1.17,    2.33,  206.37,  115.52,  367.87,   217.15,    56.64,   163.09,     0.00,     0.00,    -1.47,    14.83,     0.37,     0.65,     0.35,  279.52,    0.55,  279.52,  226.11,    11.67,     4.25,    19.09,     0.64,     0.70,    91.06,   635.44,   544.38,   505.63,     0.45, 1040.10,  675.02,  365.08, 1040.10,     0.87,   289.39,     79.68,  355.33,  100.92
maize,   198.40,     9.00,    41.16,   -96.47,   100.00,   656.97,  1300.80,    26.07,   367.34,    65.90,     2.56,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    61.18,    68.55,     1.15,   25.98,     2.45,   195.39,     7.37,     0.60,     6.20,   344.18,   724.55,   406.60,     1.30,    2.20,  222.23,  124.11,  350.88,   195.39,    68.84,   180.70,     0.00,     0.00,    -1.26,    14.83,     0.37,     0.59,     0.41,  339.93,    0.55,  339.93,  282.78,    11.67,     4.25,    19.09,     0.78,     0.89,    94.39,   806.20,   711.80,   622.71,     0.45, 1300.80,  771.40,  529.40, 1300.80,     0.68,   368.12,     72.01,  444.75,   84.33
maize,   198.44,    10.00,    41.16,   -96.47,   100.00,   884.14,  1750.60,    27.09,   356.82,    65.40,     2.27,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    76.55,    84.33,     1.24,   27.08,     2.31,   187.16,     7.78,     0.77,     8.36,   425.25,  1202.13,   381.32,     1.38,    2.12,  243.26,  141.10,  332.96,   187.16,    85.05,   195.27,     0.00,     0.00,    -0.95,    14.83,     0.37,     0.39,     0.61,  448.29,    0.54,  448.29,  380.57,    11.67,     4.25,    19.09,     0.87,     1.07,    96.24,   932.05,   835.81,   828.86,     0.46, 1750.60,  687.21, 1063.39, 1750.60,     0.51,   425.94,     60.91,  510.41,   63.09
maize,   198.48,    11.00,    41.16,   -96.47,   100.00,   984.09,  1948.50,    27.79,   353.33,    60.00,     2.61,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    80.97,    89.01,     1.49,   27.65,     2.48,   175.66,     8.04,     0.77,     9.93,   449.87,  1447.33,   341.77,     1.41,    2.09,  249.31,  147.55,  328.91,   175.66,    89.97,   204.44,     0.00,     0.00,    -0.46,    14.83,     0.37,     0.30,     0.70,  493.22,    0.54,  493.22,  423.59,    11.67,     4.25,    19.09,     0.93,     1.19,    97.12,  1002.92,   905.79,   916.81,     0.46, 1948.50,  581.70, 1366.80, 1948.50,     0.38,   458.45,     52.66,  547.33,   47.80
maize,   198.52,    12.00,    41.16,   -96.47,   100.00,   927.53,  1836.50,    28.67,   352.30,    54.90,     2.82,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    80.09,    88.42,     1.77,   28.17,     2.58,   160.33,     8.33,     0.70,    10.59,   445.35,  1268.18,   386.08,     1.42,    2.08,  248.10,  144.61,  330.22,   160.33,    89.07,   215.21,     0.00,     0.00,     0.23,    14.83,     0.37,     0.38,     0.62,  464.07,    0.54,  464.07,  399.24,    11.67,     4.25,    19.09,     0.94,     1.22,    97.25,  1013.36,   916.11,   863.31,     0.46, 1836.50,  704.95, 1131.55, 1836.50,     0.35,   463.23,     51.32,  552.77,   45.34
maize,   198.56,    13.00,    41.16,   -96.47,   100.00,   906.67,  1795.20,    29.00,   353.11,    50.30,     3.20,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    78.70,    87.16,     1.99,   28.40,     2.74,   148.40,     8.46,     0.64,    10.91,   438.85,  1243.84,   380.11,     1.39,    2.11,  246.21,  145.14,  332.33,   148.40,    87.77,   219.83,     0.00,     0.00,     0.81,    14.83,     0.37,     0.38,     0.62,  457.44,    0.54,  457.44,  390.26,    11.67,     4.25,    19.09,     0.90,     1.12,    96.63,   962.57,   865.94,   847.70,     0.46, 1795.20,  685.26, 1109.94, 1795.20,     0.45,   439.95,     57.53,  526.31,   56.80
maize,   198.60,    14.00,    41.16,   -96.47,   100.00,   795.15,  1574.40,    29.10,   351.41,    51.30,     3.02,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    71.85,    80.34,     1.96,   28.42,     2.67,   151.03,     8.49,     0.60,    10.01,   403.76,  1016.08,   394.45,     1.33,    2.17,  236.83,  139.73,  331.99,   151.03,    80.75,   220.96,     0.00,     0.00,     1.17,    14.83,     0.37,     0.46,     0.54,  408.25,    0.54,  408.25,  342.26,    11.67,     4.25,    19.09,     0.81,     0.95,    95.15,   854.44,   759.29,   750.51,     0.46, 1574.40,  722.10,  852.30, 1574.40,     0.62,   390.30,     68.29,  469.93,   77.08
maize,   198.65,    15.00,    41.16,   -96.47,   100.00,   731.26,  1447.90,    29.04,   349.95,    52.00,     2.90,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    66.18,    74.66,     1.93,   28.37,     2.61,   157.55,     8.48,     0.56,     9.28,   375.34,   967.75,   356.51,     1.22,    2.28,  229.07,  140.92,  329.66,   157.55,    75.07,   220.62,     0.00,     0.00,     1.40,    14.83,     0.37,     0.42,     0.58,  385.10,    0.55,  385.10,  314.76,    11.67,     4.25,    19.09,     0.69,     0.76,    92.41,   697.47,   605.06,   699.86,     0.45, 1447.90,  613.21,  834.69, 1447.90,     0.81,   318.04,     77.89,  387.87,   96.53
maize,   198.69,    16.00,    41.16,   -96.47,   100.00,   551.52,  1092.00,    28.59,   349.32,    57.70,     3.10,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    51.41,    59.75,     1.65,   28.06,     2.70,   178.20,     8.33,     0.48,     6.95,   299.83,   663.30,   328.44,     1.04,    2.46,  208.85,  132.57,  332.49,   178.20,    59.97,   215.20,     0.00,     0.00,     1.59,    14.83,     0.37,     0.50,     0.50,  300.40,    0.56,  300.40,  237.39,    11.67,     4.25,    19.09,     0.54,     0.57,    87.50,   504.91,   417.41,   537.79,     0.44, 1092.00,  546.19,  545.81, 1092.00,     1.00,   228.87,     79.62,  286.44,  103.93
maize,   199.31,     7.00,    41.16,   -96.47,   100.00,   194.29,   384.70,    23.54,   399.82,    88.80,     2.73,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    14.96,    21.47,     0.32,   23.70,     2.53,   285.12,     6.51,     0.21,     0.72,   107.38,   104.44,   202.95,     0.96,    2.54,  158.95,   86.93,  396.74,   285.12,    21.48,   151.60,     0.00,     0.00,    -1.64,    14.81,     0.37,     0.93,     0.07,  107.38,    0.56,  107.38,   83.63,    11.67,     4.27,    19.07,     0.48,     0.50,    84.94,   432.70,   347.76,   191.01,     0.44,  384.70,  355.86,   28.84,  384.70,     1.07,   195.19,     77.26,  247.96,  101.87
maize,   199.35,     8.00,    41.16,   -96.47,   100.00,   522.47,  1034.50,    24.62,   379.12,    81.10,     2.78,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    49.37,    56.29,     0.58,   24.96,     2.56,   232.71,     6.92,     0.56,     3.26,   282.33,   524.39,   369.61,     1.17,    2.33,  206.05,  115.75,  365.91,   232.71,    56.47,   165.39,     0.00,     0.00,    -1.47,    14.81,     0.37,     0.65,     0.35,  278.10,    0.55,  278.10,  224.89,    11.67,     4.27,    19.07,     0.64,     0.69,    91.02,   633.54,   542.52,   503.00,     0.45, 1034.50,  673.62,  360.88, 1034.50,     0.88,   288.49,     79.72,  354.31,  101.03
maize,   199.40,     9.00,    41.16,   -96.47,   100.00,   618.54,  1224.70,    25.68,   372.47,    75.80,     3.57,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    57.94,    65.22,     0.80,   25.83,     2.90,   217.15,     7.28,     0.62,     4.71,   327.23,   649.83,   404.46,     1.30,    2.20,  217.78,  120.46,  359.67,   217.15,    65.45,   177.73,     0.00,     0.00,    -1.25,    14.81,     0.37,     0.63,     0.37,  320.13,    0.55,  320.13,  266.24,    11.67,     4.27,    19.07,     0.78,     0.89,    94.37,   804.53,   710.16,   586.37,     0.45, 1224.70,  775.35,  449.35, 1224.70,     0.68,   367.33,     72.13,  443.85,   84.56
maize,   199.44,    10.00,    41.16,   -96.47,   100.00,   875.96,  1734.40,    26.72,   365.43,    73.00,     2.62,     3.50, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,   -0.00,    76.20,    83.91,     0.95,   27.03,     2.48,   205.79,     7.71,     0.82,     7.11,   423.05,  1180.35,   385.13,     1.37,    2.13,  242.78,  140.40,  343.46,   205.79,    84.61,   192.76,     0.00,     0.00,    -0.95,    14.81,     0.37,     0.40,     0.60,  444.25,    0.54,  444.25,  377.04,    11.67,     4.27,    19.07,     0.87,     1.06,    96.23,   930.59,   834.36,   821.30,     0.46, 1734.40,  697.95, 1036.45, 1734.40,     0.51,   425.25,     61.07,  509.62,   63.39
