Species, DayOfYear, Time, Lat, Long, Alt, SolRad, PFD, Temp, CO2, RH, Wind, LAI, ConstTemp, sifSunlit, sifShaded,ql_sunlit, ql_shaded, kdf_sunlit, kdf_shaded, PhiPS2_sunlit, PhiPS2_shaded, fesc, ANet, AGross, VPD, LeafTemp, BoundaryL_Conductance, InternalCO2, Respiration, StomatalConduct, Transpiration,J,sunlitPFD,shadedPFD,sunlitLAI,shadedLAI,GammaValue(gamma_C3 or GammaStar_C4), Gamma_C4,Cs_stomatalConductance, ci, AjLeaf,AcLeaf,AvLeaf,ApLeaf,Azimuth, DayLength, Declination, FracPARDiffuse, FracPARDirect, NIR,NIRFraction, NIRTotal, PAR ,SolarNoon, Sunrise, Sunset, SinElevation, SolarElevation,PotSolarDiffuse, PotSolarTotal, PotSolarDirect, MeasuredSolarRad, PARFraction,PFD, PFDDiffuse, PFDDirect, PFDTotal, Zenith, PotParDirect,PotParDiffuse, PotNIRDirect,PotNIRDiffuse
maize,   198.31,     7.00,    41.16,   -96.47,   100.00,   351.57,   696.10,    23.36,   399.17,    77.80,     2.04,     3.50, 0,     0.72,     0.72,     0.68,     0.77,     9.00,     9.00,     0.81,     0.81,    1.18,    21.36,    23.23,     0.64,   23.78,     2.19,   228.42,     1.87,     0.06,     1.40,    33.19,   306.08,   117.31,     0.96,    2.54,   68.80,  109.40,  385.81,   228.42,     0.00,     0.00,     0.00,     0.00,    -1.64,    14.83,     0.37,     0.73,     0.27,  194.21,    0.56,  194.21,  151.33,    11.67,     4.25,    19.09,     0.48,     0.50,    85.01,   434.80,   349.79,   345.54,     0.44,  696.10,  509.44,  186.66,  696.10,     1.07,   196.19,     77.36,  249.10,  101.97
maize,   198.35,     8.00,    41.16,   -96.47,   100.00,   525.30,  1040.10,    24.60,   382.24,    70.20,     2.37,     3.50, 0,     1.21,     1.21,     0.62,     0.75,     9.00,     9.00,     0.81,     0.81,    1.04,    40.14,    42.09,     0.92,   24.53,     2.36,   196.03,     1.95,     0.11,     3.07,    60.13,   452.34,   158.90,     1.17,    2.33,   94.51,  137.23,  358.95,   196.03,     0.00,     0.00,     0.00,     0.00,    -1.47,    14.83,     0.37,     0.65,     0.35,  279.52,    0.55,  279.52,  226.11,    11.67,     4.25,    19.09,     0.64,     0.70,    91.06,   635.44,   544.38,   505.63,     0.45, 1040.10,  675.02,  365.08, 1040.10,     0.87,   289.39,     79.68,  355.33,  100.92
maize,   198.40,     9.00,    41.16,   -96.47,   100.00,   656.97,  1300.80,    26.07,   367.34,    65.90,     2.56,     3.50, 0,     1.62,     1.62,     0.58,     0.74,     9.00,     9.00,     0.81,     0.81,    1.00,    54.42,    56.47,     1.15,   25.48,     2.45,   177.03,     2.05,     0.16,     4.61,    80.68,   557.39,   184.81,     1.30,    2.20,  114.06,  158.90,  336.96,   177.03,     0.00,     0.00,     0.00,     0.00,    -1.26,    14.83,     0.37,     0.59,     0.41,  339.93,    0.55,  339.93,  282.78,    11.67,     4.25,    19.09,     0.78,     0.89,    94.39,   806.20,   711.80,   622.71,     0.45, 1300.80,  771.40,  529.40, 1300.80,     0.68,   368.12,     72.01,  444.75,   84.33
maize,   198.44,    10.00,    41.16,   -96.47,   100.00,   884.14,  1750.60,    27.09,   356.82,    65.40,     2.27,     3.50, 0,     1.88,     1.88,     0.48,     0.74,     9.00,     9.00,     0.81,     0.81,    0.94,    63.31,    65.48,     1.24,   26.58,     2.31,   169.15,     2.18,     0.19,     5.92,    93.55,   873.93,   179.49,     1.38,    2.12,  126.22,  173.15,  319.29,   169.15,     0.00,     0.00,     0.00,     0.00,    -0.95,    14.83,     0.37,     0.39,     0.61,  448.29,    0.54,  448.29,  380.57,    11.67,     4.25,    19.09,     0.87,     1.07,    96.24,   932.05,   835.81,   828.86,     0.46, 1750.60,  687.21, 1063.39, 1750.60,     0.51,   425.94,     60.91,  510.41,   63.09
maize,   198.48,    11.00,    41.16,   -96.47,   100.00,   984.09,  1948.50,    27.79,   353.33,    60.00,     2.61,     3.50, 0,     2.08,     2.08,     0.44,     0.75,     9.00,     9.00,     0.81,     0.81,    0.95,    67.70,    69.93,     1.49,   27.01,     2.48,   157.41,     2.23,     0.20,     7.10,    99.90,  1024.98,   163.69,     1.41,    2.09,  132.23,  180.05,  315.90,   157.41,     0.00,     0.00,     0.00,     0.00,    -0.46,    14.83,     0.37,     0.30,     0.70,  493.22,    0.54,  493.22,  423.59,    11.67,     4.25,    19.09,     0.93,     1.19,    97.12,  1002.92,   905.79,   916.81,     0.46, 1948.50,  581.70, 1366.80, 1948.50,     0.38,   458.45,     52.66,  547.33,   47.80
maize,   198.52,    12.00,    41.16,   -96.47,   100.00,   927.53,  1836.50,    28.67,   352.30,    54.90,     2.82,     3.50, 0,     2.24,     2.24,     0.47,     0.74,     9.00,     9.00,     0.81,     0.81,    0.96,    73.52,    75.77,     1.77,   27.17,     2.58,   146.03,     2.25,     0.20,     7.97,   108.24,   894.91,   185.36,     1.42,    2.08,  140.20,  188.58,  313.20,   146.03,     0.00,     0.00,     0.00,     0.00,     0.23,    14.83,     0.37,     0.38,     0.62,  464.07,    0.54,  464.07,  399.24,    11.67,     4.25,    19.09,     0.94,     1.22,    97.25,  1013.36,   916.11,   863.31,     0.46, 1836.50,  704.95, 1131.55, 1836.50,     0.35,   463.23,     51.32,  552.77,   45.34
maize,   198.56,    13.00,    41.16,   -96.47,   100.00,   906.67,  1795.20,    29.00,   353.11,    50.30,     3.20,     3.50, 0,     2.02,     2.02,     0.47,     0.74,     9.00,     9.00,     0.81,     0.81,    1.03,    61.27,    63.59,     1.99,   27.81,     2.74,   133.18,     2.32,     0.15,     7.50,    90.85,   893.72,   180.29,     1.39,    2.11,  123.43,  172.14,  322.52,   133.18,     0.00,     0.00,     0.00,     0.00,     0.81,    14.83,     0.37,     0.38,     0.62,  457.44,    0.54,  457.44,  390.26,    11.67,     4.25,    19.09,     0.90,     1.12,    96.63,   962.57,   865.94,   847.70,     0.46, 1795.20,  685.26, 1109.94, 1795.20,     0.45,   439.95,     57.53,  526.31,   56.80
maize,   198.60,    14.00,    41.16,   -96.47,   100.00,   795.15,  1574.40,    29.10,   351.41,    51.30,     3.02,     3.50, 0,     1.63,     1.63,     0.51,     0.74,     9.00,     9.00,     0.81,     0.81,    1.06,    48.98,    51.35,     1.96,   28.21,     2.67,   135.12,     2.37,     0.12,     6.25,    73.36,   763.57,   181.83,     1.33,    2.17,  106.60,  155.30,  326.24,   135.12,     0.00,     0.00,     0.00,     0.00,     1.17,    14.83,     0.37,     0.46,     0.54,  408.25,    0.54,  408.25,  342.26,    11.67,     4.25,    19.09,     0.81,     0.95,    95.15,   854.44,   759.29,   750.51,     0.46, 1574.40,  722.10,  852.30, 1574.40,     0.62,   390.30,     68.29,  469.93,   77.08
maize,   198.65,    15.00,    41.16,   -96.47,   100.00,   731.26,  1447.90,    29.04,   349.95,    52.00,     2.90,     3.50, 0,     1.68,     1.68,     0.50,     0.75,     9.00,     9.00,     0.81,     0.81,    1.11,    49.54,    51.90,     1.93,   28.13,     2.61,   136.85,     2.36,     0.12,     6.27,    74.15,   792.52,   156.44,     1.22,    2.28,  107.37,  155.98,  323.97,   136.85,     0.00,     0.00,     0.00,     0.00,     1.40,    14.83,     0.37,     0.42,     0.58,  385.10,    0.55,  385.10,  314.76,    11.67,     4.25,    19.09,     0.69,     0.76,    92.41,   697.47,   605.06,   699.86,     0.45, 1447.90,  613.21,  834.69, 1447.90,     0.81,   318.04,     77.89,  387.87,   96.53
maize,   198.69,    16.00,    41.16,   -96.47,   100.00,   551.52,  1092.00,    28.59,   349.32,    57.70,     3.10,     3.50, 0,     1.34,     1.34,     0.56,     0.76,     9.00,     9.00,     0.81,     0.81,    1.21,    37.23,    39.59,     1.65,   28.12,     2.70,   152.80,     2.36,     0.10,     4.62,    56.56,   636.87,   133.60,     1.04,    2.46,   90.52,  138.46,  330.43,   152.80,     0.00,     0.00,     0.00,     0.00,     1.59,    14.83,     0.37,     0.50,     0.50,  300.40,    0.56,  300.40,  237.39,    11.67,     4.25,    19.09,     0.54,     0.57,    87.50,   504.91,   417.41,   537.79,     0.44, 1092.00,  546.19,  545.81, 1092.00,     1.00,   228.87,     79.62,  286.44,  103.93
